,id,host_id,comuna,latitude,longitude,bathrooms,bedrooms,beds,price,cleaning_fee,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,total_price,tipo,ingresos_25p,ingresos_50p,ingresos_75p,ingresos_100p
1615,11189699,58250508,Santiago,-33.44768,-70.64586,2,2,3.0,25469.0,25469.0,0,0,0,0,2,100.0,50938.0,2D+2B,280159.0,407504.0,534849.0,789539.0
1618,11197074,58300012,Estación Central,-33.45357,-70.69467,1,1,1.0,33512.0,0.0,23,53,83,358,1,100.0,33512.0,1D+1B,335120.0,502680.0,670240.0,1005360.0
1619,11199773,58311547,Santiago,-33.4481,-70.63225,2,3,3.0,35523.0,10000.0,0,0,0,0,3,93.0,45523.0,3D+2B,365230.0,542845.0,720460.0,1075690.0
1624,11209845,58382122,Ñuñoa,-33.45453,-70.62295999999999,2,2,4.0,50269.0,20107.0,0,0,0,0,4,95.0,70376.0,2D+2B,522797.0,774142.0,1025487.0,1528177.0
1625,11217337,980389,Santiago,-33.43375,-70.64699999999999,1,1,1.0,30161.0,11000.0,21,48,78,351,145,93.0,41161.0,1D+1B,312610.0,463415.0,614220.0,915830.0
1627,11220835,58462804,Las Condes,-33.41538,-70.59897,2,2,3.0,75738.0,0.0,29,59,89,364,7,91.0,75738.0,2D+2B,757380.0,1136070.0,1514760.0,2272140.0
1628,11225213,20448250,Santiago,-33.44792,-70.64441,1,1,2.0,26140.0,10054.0,24,54,84,84,17,93.0,36194.0,1D+1B,271454.0,402154.0,532854.0,794254.0
1629,11226002,20448250,Santiago,-33.44755,-70.64423000000001,1,1,2.0,26140.0,10054.0,23,53,83,345,24,93.0,36194.0,1D+1B,271454.0,402154.0,532854.0,794254.0
1630,11226656,58507319,Santiago,-33.4321,-70.65925,1,1,1.0,20107.0,20107.0,6,25,40,58,71,99.0,40214.0,1D+1B,221177.0,321712.0,422247.0,623317.0
1631,11226795,20448250,Santiago,-33.44892,-70.64469,1,1,2.0,26140.0,10054.0,24,54,84,84,5,96.0,36194.0,1D+1B,271454.0,402154.0,532854.0,794254.0
1632,11227099,20448250,Santiago,-33.44921,-70.64482,1,1,1.0,26140.0,10054.0,20,50,80,80,7,91.0,36194.0,1D+1B,271454.0,402154.0,532854.0,794254.0
1633,11227239,20448250,Santiago,-33.4485,-70.64431,1,1,2.0,26140.0,10054.0,25,55,85,85,13,94.0,36194.0,1D+1B,271454.0,402154.0,532854.0,794254.0
1637,11253241,53778739,Recoleta,-33.42481,-70.64057,2,3,4.0,97186.0,0.0,22,52,76,332,193,95.0,97186.0,3D+2B,971860.0,1457790.0,1943720.0,2915580.0
1639,11270895,5550648,Santiago,-33.44378,-70.6437,2,2,2.0,46917.0,32842.0,12,39,69,338,152,98.0,79759.0,2D+2B,502012.0,736597.0,971182.0,1440352.0
1640,11281271,4641399,Providencia,-33.42512,-70.61511999999999,1,1,1.0,40215.0,6702.0,24,54,84,359,9,98.0,46917.0,1D+1B,408852.0,609927.0,811002.0,1213152.0
1642,11298899,59046379,Santiago,-33.46152,-70.65262,1,2,2.0,34853.0,20000.0,30,60,90,365,1,40.0,54853.0,2D+1B,368530.0,542795.0,717060.0,1065590.0
1644,11300732,17962259,Santiago,-33.44772,-70.64626,2,2,3.0,18767.0,15000.0,0,0,0,0,10,96.0,33767.0,2D+2B,202670.0,296505.0,390340.0,578010.0
1650,11315743,59176570,Santiago,-33.43303,-70.65854,1,1,1.0,23459.0,13405.0,7,7,7,7,1,100.0,36864.0,1D+1B,247995.0,365290.0,482585.0,717175.0
1653,11334054,59198909,Santiago,-33.44613,-70.64573,1,1,1.0,22118.0,8700.0,11,35,54,281,213,95.0,30818.0,1D+1B,229880.0,340470.0,451060.0,672240.0
1654,11338206,59342563,Santiago,-33.45013,-70.64132,2,2,3.0,33512.0,16756.0,0,0,0,0,18,99.0,50268.0,2D+2B,351876.0,519436.0,686996.0,1022116.0
1655,11338851,50892876,Santiago,-33.44635,-70.63828000000001,1,2,3.0,25469.0,0.0,30,60,90,365,5,80.0,25469.0,2D+1B,254690.0,382035.0,509380.0,764070.0
1657,11356625,6030036,Santiago,-33.43578,-70.64605,1,2,2.0,22118.0,0.0,20,50,80,355,169,86.0,22118.0,2D+1B,221180.0,331770.0,442360.0,663540.0
1658,11362379,54506110,Santiago,-33.44397,-70.64406,2,3,4.0,62333.0,0.0,8,24,54,287,96,98.0,62333.0,3D+2B,623330.0,934995.0,1246660.0,1869990.0
1660,11378584,59659619,Providencia,-33.4343,-70.62803000000001,1,1,1.0,56971.0,16756.0,30,60,90,365,4,93.0,73727.0,1D+1B,586466.0,871321.0,1156176.0,1725886.0
1665,11406999,31297277,Santiago,-33.44418,-70.64449,1,1,1.0,32172.0,12000.0,8,27,50,294,150,98.0,44172.0,1D+1B,333720.0,494580.0,655440.0,977160.0
1666,11412924,50190637,Las Condes,-33.41168,-70.57117,1,1,1.0,26810.0,18169.0,18,48,78,353,149,97.0,44979.0,1D+1B,286269.0,420319.0,554369.0,822469.0
1668,11418910,59964118,Las Condes,-33.41125,-70.57498000000001,2,3,4.0,44907.0,10000.0,27,57,87,362,44,76.0,54907.0,3D+2B,459070.0,683605.0,908140.0,1357210.0
1669,11428445,60036768,Santiago,-33.44035,-70.65194,1,1,1.0,20778.0,15163.0,10,25,25,25,42,85.0,35941.0,1D+1B,222943.0,326833.0,430723.0,638503.0
1670,11438622,28227185,Providencia,-33.42361,-70.61128000000001,1,1,3.0,40215.0,23390.0,22,52,82,357,19,87.0,63605.0,1D+1B,425540.0,626615.0,827690.0,1229840.0
1671,11452391,60214845,Santiago,-33.44797,-70.64774,1,2,4.0,29491.0,20107.0,16,39,69,336,118,91.0,49598.0,2D+1B,315017.0,462472.0,609927.0,904837.0
1672,11457372,60235026,Recoleta,-33.434,-70.64023,2,2,3.0,33512.0,0.0,0,0,0,195,19,94.0,33512.0,2D+2B,335120.0,502680.0,670240.0,1005360.0
